City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vel'sk,61.0701,42.0983,14.82,95,100,3.48,RU,1695578253
1,nar'yan-mar,67.6713,53.087,11.54,94,100,4.89,RU,1695578253
2,whitehorse,60.7161,-135.0538,0.43,86,75,0.0,CA,1695578253
3,al kharijah,25.4514,30.5464,31.02,16,3,4.71,EG,1695578254
4,college,64.8569,-147.8028,3.22,86,75,1.54,US,1695578254
5,waitangi,-43.9535,-176.5597,9.34,95,100,1.79,NZ,1695578254
6,dwarka,22.2394,68.9678,27.28,87,57,6.32,IN,1695578254
7,sao gabriel da cachoeira,-0.1303,-67.0892,31.89,62,20,1.03,BR,1695578254
8,inverell,-29.7833,151.1167,8.42,88,0,0.45,AU,1695578255
9,blackmans bay,-43.0167,147.3167,10.07,78,33,3.75,AU,1695578255
10,hawaiian paradise park,19.5933,-154.9731,22.8,95,100,2.06,US,1695578255
11,puerto natales,-51.7236,-72.4875,12.25,43,40,6.69,CL,1695578255
12,santarem,-2.4431,-54.7083,33.07,55,0,4.63,BR,1695578255
13,grytviken,-54.2811,-36.5092,-3.79,86,100,2.46,GS,1695578256
14,edinburgh of the seven seas,-37.0676,-12.3116,10.56,68,48,4.73,SH,1695578256
15,vila franca do campo,37.7167,-25.4333,23.23,60,16,1.41,PT,1695578256
16,bethel,41.3712,-73.414,17.72,86,100,4.63,US,1695578142
17,brookings,44.3114,-96.7984,15.66,97,100,4.63,US,1695578257
18,balkanabat,39.5108,54.3671,24.11,22,19,5.52,TM,1695578257
19,kingori,-3.2833,36.9833,20.54,65,81,3.95,TZ,1695578257
20,longyearbyen,78.2186,15.6401,-5.09,80,40,1.54,SJ,1695578257
21,port elizabeth,-33.918,25.5701,18.39,96,100,11.32,ZA,1695578229
22,pokrovo-prigorodnoye,52.6841,41.4175,16.59,43,18,3.18,RU,1695578258
23,vadso,70.0744,29.7487,4.49,81,75,2.57,NO,1695578258
24,albany,42.6001,-73.9662,18.23,82,100,1.49,US,1695578142
25,daru,-9.0763,143.2092,24.79,80,77,7.26,PG,1695578258
26,ilulissat,69.2167,-51.1,-0.42,49,74,0.45,GL,1695578258
27,saudarkrokur,65.7461,-19.6394,5.86,76,100,2.72,IS,1695578259
28,namibe,-15.1961,12.1522,18.89,78,63,4.32,AO,1695578259
29,at taj,24.2049,23.2857,28.61,15,40,3.96,LY,1695578259
30,walvis bay,-22.9575,14.5053,16.53,63,0,9.26,,1695578259
31,howard springs,-12.497,131.047,24.95,77,76,1.22,AU,1695578259
32,adamstown,-25.066,-130.1015,20.68,80,97,11.94,PN,1695578260
33,thompson,55.7435,-97.8558,17.09,72,75,3.09,CA,1695578260
34,avarua,-21.2078,-159.775,20.03,60,96,5.14,CK,1695578260
35,fauske,67.2588,15.3918,11.02,83,97,3.25,NO,1695578260
36,katsuura,35.1333,140.3,21.41,67,52,7.1,JP,1695578261
37,margaret river,-33.95,115.0667,9.01,88,53,1.44,AU,1695578027
38,puerto ayora,-0.7393,-90.3518,27.98,88,85,3.58,EC,1695578261
39,anadyr,64.75,177.4833,5.28,100,40,2.0,RU,1695578261
40,sitka,57.0531,-135.33,8.94,87,100,1.54,US,1695578261
41,ranibennur,14.6167,75.6167,21.87,91,100,4.0,IN,1695578262
42,rundu,-17.9333,19.7667,32.35,18,72,3.48,,1695578262
43,iqaluit,63.7506,-68.5145,3.85,75,100,5.14,CA,1695578262
44,chonchi,-42.6128,-73.8092,10.56,65,97,0.83,CL,1695578262
45,mata-utu,-13.2816,-176.1745,26.96,78,99,11.27,WF,1695578263
46,palikir - national government center,6.9248,158.1611,27.41,83,100,1.03,FM,1695578263
47,kenai,60.5544,-151.2583,6.75,94,100,2.06,US,1695578023
48,port-aux-francais,-49.35,70.2167,1.64,66,70,13.78,TF,1695578263
49,port mathurin,-19.6833,63.4167,22.96,72,36,9.27,MU,1695578263
50,agadez,19.75,10.25,32.31,10,0,1.18,NE,1695578264
51,yellowknife,62.456,-114.3525,14.12,99,100,4.63,CA,1695578233
52,iskateley,67.6803,53.1512,11.51,94,100,4.88,RU,1695578264
53,nuuk,64.1835,-51.7216,3.82,44,1,4.47,GL,1695578264
54,vorgashor,67.5833,63.95,13.53,93,98,7.89,RU,1695578264
55,west island,-12.1568,96.8225,24.99,88,40,6.17,CC,1695578265
